Date,Ports,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
9/13/2017,204,5.4297,5.5197,3.6721,2.8694,6.6499,11.7216,43.0422,150.4742,153.16,172.4254,109.0128,34.6348,60.3902,52.9552,25.8479,27.9613,20.4488,6.5196,3.6818,4.4196,4.39,7.8615,7.2996,4.3901
9/14/2017,204,2.5502,4.491,2.4705,2.8598,7.9412,11.5355,32.451,159.8237,159.41,207.2665,132.5685,49.7008,70.7873,71.0581,36.1116,32.7913,18.1769,8.0211,8.89,13.762,8.5895,8.8497,8.962,2.3195
9/15/2017,204,3.0102,2.6197,4.6513,2.2703,7.1701,11.5348,38.6331,187.2072,148.696,153.695,103.2528,43.7487,56.6713,43.0032,16.5935,16.7551,21.5202,3.4511,2.8902,5.1212,2.1203,5.9295,7.8699,6.1519
9/16/2017,204,4.4194,2.3202,3.0598,3.9018,3.7799,2.0395,2.2402,8.4413,6.5903,9.3594,9.8856,6.6543,6.2018,3.4999,8.2599,8.8802,4.3196,1.8803,4.4713,4.0201,1.9695,2.22,4.832,2.0201
9/17/2017,204,3.0594,3.8518,3.4497,2.7897,7.4604,6.0608,6.2305,4.5296,2.46,7.9513,3.1201,1.8495,2.0902,7.9117,7.0601,7.2694,4.3105,1.87,3.1997,7.4996,8.5114,5.7903,7.7399,4.43
9/18/2017,204,7.9113,3.1102,3.0997,3.8418,6.4699,17.3911,57.537,169.9825,152.9568,175.5934,146.3464,57.8451,74.1294,92.8056,47.6166,48.3119,44.276,22.7815,27.0469,13.431,10.6116,7.1806,7.4296,4.43
9/19/2017,204,5.2918,2.4694,3.2706,2.0597,12.5112,10.7719,31.8781,152.4128,149.6632,153.7765,128.7201,46.3787,64.4562,48.8489,20.5875,23.2986,19.4548,8.7303,5.1513,4.4696,4.47,7.9214,7.5101,2.4095
9/20/2017,204,3.88,3.0402,2.7202,3.8394,10.5205,11.8495,46.2099,167.3996,160.9403,182.5203,139.2296,39.5495,58.0502,52.8496,11.6203,12.6997,10.7001,12.0095,16.5405,8.0496,4.4495,5.4403,8.9901,2.3096
9/21/2017,204,3.0202,3.0994,4.67,2.3005,4.1194,10.1503,30.1494,164.7804,142.09,144.3694,90.9298,30.4103,47.3199,53.6393,33.8601,22.7499,17.9301,11.39,10.3694,6.5208,1.9595,3.5299,5.6401,4.5897
9/22/2017,204,4.8099,4.7299,2.3094,3.52,6.2901,10.2897,62.4799,175.9701,154.86,177.8095,130.8601,37.77,63.4102,46.2493,17.87,21.2902,8.7094,1.9501,6.3102,3.8202,2.0292,3.1302,5.3901,1.6401
9/23/2017,204,2.72,4.7094,2.3299,3.1102,3.3998,3.6401,2.3094,4.1301,3.47,2.0899,3.1194,1.8701,11.2999,7.5004,1.4692,2.4799,6.0201,4.35,4.4703,4.9393,2.0103,3.1099,3.7894,3.64
9/24/2017,204,2.3299,3.5202,2.3299,4.7195,6.9401,5.38,5.7199,7.0202,1.8792,2.0802,7.6201,6.8101,11.0594,6.6401,7.2095,3.12,4.4101,4.38,15.3394,9.1501,3.17,3.0202,4.0993,2
9/25/2017,204,3.0799,5.9202,3.5099,2.1695,11.7201,22.01,62.5699,182.6993,163.0401,203.2702,147.8701,46.0901,75.1694,86.8701,37.3501,32.0693,21.1702,4.67,8.4702,13.2293,10.4603,6.7299,7.4297,5.49
9/26/2017,204,6.8399,2.9102,2.1394,3.8699,8.1701,15.9501,44.03,137.4493,121.3003,143.0399,111.1094,42.6003,46.4102,57.0393,38.42,34.8702,33.3693,11.76,9.8402,6.4302,1.8592,4.09,3.6101,3.75
9/27/2017,204,7.9299,5.6499,6.4599,3.1399,12.3394,15.19,40.9502,164.6301,150.2992,169.71,147.3701,55.5703,79.3195,80.87,29.9303,30.8294,22.5101,11.37,8.1599,9.62,2.6598,4.6099,7.8802,4.4692
9/28/2017,204,7.18,6.8199,4.2699,3.1099,8.2301,13.43,45.4099,133.1694,101.26,119.2302,67.7201,42.6996,72.0196,75.2509,31.5792,24.5602,22.3998,11.8299,8.1898,7.7601,4.4,5.4402,8.9201,2.0297
9/29/2017,204,2.9294,2.54,5.03,2.3,7.7398,14.1,52.0699,165.4501,149.82,175.76,118.4494,40.2003,76.9802,72.3393,42.9299,28.6303,23.6593,3.46,2.9002,6.3401,4.3392,4.47,3.5902,1.9597
9/30/2017,204,2.2099,4.6802,2.2799,3.1299,8.1998,6.7,11.7199,14.8494,11.2702,15.5302,15.1001,12.3699,13.5198,15.7604,3.7496,2.0899,4.7201,1.88,2.8894,4.8901,2.78,2.2594,3.3699,3.61
10/1/2017,231,2.887,3.7521,2.5391,6.2429,8.2081,7.8896,15.1022,16.2973,7.331,3.8991,8.4722,10.518,12.322,15.4906,11.1676,6.6611,4.2011,2.82,9.5082,4.9015,4.6394,7.8193,8.1809,5.1321
